,ID,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90
Fz_048,211,1222.604,1254.573,1276.993,1289.695,1292.582,1285.631,1268.895,1242.503,1206.655,1161.623,1107.750,1045.447,975.187,897.506,812.994,722.294,626.098,525.136,420.178
Fz_049,212,1314.609,1348.182,1371.494,1384.369,1386.708,1378.493,1359.787,1330.732,1291.549,1242.537,1184.069,1116.589,1040.611,956.713,865.535,767.769,664.159,555.496,442.604
Fz_050,214,793.361,779.496,759.698,734.119,702.953,666.437,624.849,578.505,527.759,472.996,414.633,353.115,288.909,222.505,154.407,85.134,15.213,-54.824,-124.443
Fz_051,215,924.883,913.677,895.517,870.541,838.940,800.955,756.873,707.031,651.809,591.625,526.939,458.243,386.059,310.937,233.449,154.184,73.745,-7.254,-88.199
Fz_052,216,1103.213,1073.238,1035.096,989.075,935.527,874.860,807.534,734.062,655.003,570.960,482.571,390.509,295.476,198.194,99.403,-0.144,-99.690,-198.477,-295.754
Fz_053,217,1158.442,1188.778,1210.067,1222.147,1224.925,1218.381,1202.565,1177.596,1143.665,1101.030,1050.015,991.009,924.461,850.877,770.818,684.892,593.754,498.097,398.649
Fz_054,218,1131.432,1136.504,1132.927,1120.727,1099.998,1070.898,1033.647,988.529,935.889,876.125,809.694,737.100,658.897,575.679,488.079,396.766,302.432,205.797,107.596
Fz_055,219,532.270,535.742,535.137,530.458,521.743,509.057,492.497,472.188,448.286,420.972,390.454,356.965,320.759,282.112,241.317,198.686,154.543,109.224,63.074
Fz_056,220,928.583,897.948,860.480,816.462,766.231,710.168,648.700,582.296,511.459,436.731,358.678,277.896,194.999,110.617,25.394,-60.022,-144.982,-228.838,-310.953
Fz_057,221,970.301,962.414,947.202,924.781,895.322,859.049,816.238,767.215,712.353,652.070,586.824,517.112,443.465,366.442,286.631,204.638,121.087,36.616,-48.135
Fz_058,222,1084.813,1081.037,1069.034,1048.895,1020.773,984.882,941.496,890.944,833.612,769.936,700.400,625.533,545.906,462.124,374.825,284.673,192.355,98.573,4.041
Fz_059,223,1203.534,1219.802,1226.787,1224.435,1212.765,1191.865,1161.894,1123.080,1075.719,1020.171,956.859,886.265,808.925,725.430,636.413,542.553,444.563,343.191,239.206
Fz_060,224,1301.810,1307.923,1304.083,1290.318,1266.733,1233.507,1190.893,1139.216,1078.869,1010.311,934.064,850.708,760.878,665.257,564.573,459.592,351.114,239.963,126.986
Fz_061,225,995.087,1020.483,1038.112,1047.841,1049.595,1043.361,1029.186,1007.179,977.506,940.394,896.125,845.036,787.516,724.002,654.978,580.970,502.539,420.285,334.831
Fz_062,227,1001.440,963.155,917.541,864.943,805.763,740.450,669.502,593.459,512.899,428.436,340.712,250.395,158.172,64.746,-29.173,-122.871,-215.633,-306.754,-395.540
Fz_063,228,1289.535,1275.724,1252.204,1219.154,1176.826,1125.541,1065.691,997.730,922.175,839.602,750.639,655.964,556.296,452.394,345.050,235.079,123.319,10.621,-102.158
Fz_064,229,1245.023,1247.041,1239.568,1222.661,1196.449,1161.131,1116.977,1064.321,1003.566,935.172,859.662,777.609,689.637,596.418,498.659,397.105,292.529,185.726,77.510
Fz_065,230,1098.484,1131.414,1155.734,1171.258,1177.868,1175.513,1164.213,1144.051,1115.183,1077.828,1032.270,978.856,917.992,850.141,775.820,695.595,610.076,519.914,425.795
Fz_066,231,1045.644,1088.549,1123.169,1149.241,1166.567,1175.015,1174.520,1165.086,1146.785,1119.757,1084.207,1040.405,988.684,929.440,863.122,790.235,711.333,627.019,537.932
Fz_067,232,1238.738,1218.495,1188.979,1150.415,1103.095,1047.380,983.693,912.520,834.403,749.935,659.759,564.562,465.069,362.036,256.248,148.510,39.641,-69.529,-178.170
