ID,Coefficient 5,Coefficient 4,Coefficient 3,Coefficient 2,Coefficient 1,Coefficient 0
343,-0.000000003,0.000002345,-0.000125113,-0.072569126,2.015151355,479.596783661
407,-0.000000006,0.000003305,-0.000037924,-0.105248583,0.193458053,694.829605755
408,-0.000000007,0.000004045,-0.000091519,-0.128090109,1.110353043,845.725845289
409,-0.000000007,0.000004305,-0.000150875,-0.135105579,2.200355005,892.378532116
410,-0.000000009,0.000005475,-0.000170262,-0.172224887,2.382837513,1137.455019373
411,-0.000000015,0.000005409,0.000348776,-0.180653800,-7.552614648,1190.627244142
412,-0.000000017,0.000005947,0.000375558,-0.198567018,-8.147047078,1308.659900005
414,-0.000000006,0.000003842,-0.000156464,-0.120159802,2.383213566,793.738086275
415,-0.000000008,0.000004424,-0.000126788,-0.139369419,1.718448310,920.414454433
416,-0.000000008,0.000005396,-0.000300503,-0.167041627,4.889664789,1103.892992386
417,-0.000000015,0.000005271,0.000350214,-0.176281046,-7.557027509,1161.755847906
418,-0.000000013,0.000005327,0.000164774,-0.174270531,-4.014200216,1149.389034032
419,-0.000000005,0.000002485,-0.000014106,-0.079496526,-0.127442589,524.704333465
420,-0.000000005,0.000004614,-0.000368648,-0.140543965,6.320603308,929.341144513
421,-0.000000008,0.000004672,-0.000129532,-0.147352271,1.733413166,973.086894540
422,-0.000000010,0.000005123,-0.000029727,-0.163875539,-0.250523535,1081.654972056
423,-0.000000013,0.000005663,0.000091675,-0.183643584,-2.664346637,1211.556859648
424,-0.000000014,0.000006008,0.000162378,-0.196131133,-4.074304168,1293.622188480
425,-0.000000013,0.000004451,0.000302415,-0.148918481,-6.512340497,981.431290372
427,-0.000000004,0.000005039,-0.000549516,-0.150615374,9.722746496,996.598665434
428,-0.000000010,0.000006134,-0.000186832,-0.193039133,2.594229367,1274.908199077
429,-0.000000013,0.000005723,0.000097683,-0.185632176,-2.790660409,1224.660052357
430,-0.000000013,0.000005151,0.000179001,-0.168941180,-4.257108989,1114.122825271
431,-0.000000012,0.000004838,0.000183662,-0.158969199,-4.296693012,1048.295438650
432,-0.000000009,0.000006012,-0.000275033,-0.187389498,4.305647644,1238.020607080
433,-0.000000011,0.000006205,-0.000187930,-0.195252234,2.601293886,1289.549239748
434,-0.000000007,0.000005112,-0.000325818,-0.157486944,5.424376787,1040.900584573
435,-0.000000018,0.000006524,0.000388396,-0.217208339,-8.491663679,1431.690425591
436,-0.000000016,0.000003995,0.000656000,-0.141556050,-13.210432695,931.102556059
437,-0.000000012,0.000005705,0.000048369,-0.184060458,-1.843595616,1214.539328702
438,-0.000000010,0.000005861,-0.000192770,-0.184137171,2.749921802,1216.214797137
439,-0.000000013,0.000003432,0.000549708,-0.121309424,-11.083927787,797.991486147
440,-0.000000021,0.000005030,0.000907595,-0.179869973,-18.197136540,1182.765628181
441,-0.000000021,0.000004629,0.001006854,-0.168935303,-20.038067270,1110.163395482
442,-0.000000023,0.000004360,0.001216655,-0.164563004,-24.016022042,1080.339168017
443,-0.000000003,0.000002337,-0.000125193,-0.072451143,2.022933994,478.765774481
